C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
197311;W96-1;01;361;3074
197311;W96-1;02;2324;9508
197311;W96-1;03;2550;7160
197311;W96-1;81;558;1288
197311;W96-1;71;249;7928
197311;W96-1;84;216;475
197311;W96-1;60;226;1732
197311;W96-1;72;97;1683
197311;W96-1;74;146;3205
197311;W96-1;998;129;383
197311;W96-1;999;14;39
197311;W96-2;01;5182;9275
197311;W96-2;02;2977;4929
197311;W96-2;03;7464;16909
197311;W96-2;70;17;139
197311;W96-2;81;305;605
197311;W96-2;83;3;21
197311;W96-2;84;12;320
197311;W96-2;60;333;2112
197311;W96-2;74;61;1830
197311;W96-2;999;76;327
197311;W96-3;01;3528;10798
197311;W96-3;02;7284;27295
197311;W96-3;03;14937;53798
197311;W96-3;70;369;818
197311;W96-3;81;162;422
197311;W96-3;73;98;1730
197311;W96-3;71;1207;24707
197311;W96-3;83;249;310
197311;W96-3;84;438;3365
197311;W96-3;60;2416;22680
197311;W96-3;75;219;8484
197311;W96-3;74;1927;32782
197311;W96-3;998;275;1315
197311;W96-3;999;292;1713
197311;W96-4;01;7421;23449
197311;W96-4;02;12332;36677
197311;W96-4;03;11836;63028
197311;W96-4;70;9;35
197311;W96-4;81;505;1565
197311;W96-4;73;293;5678
197311;W96-4;71;2006;45643
197311;W96-4;83;38;78
197311;W96-4;84;631;4277
197311;W96-4;60;1296;14148
197311;W96-4;75;51;4805
197311;W96-4;72;450;11878
197311;W96-4;74;629;7299
197311;W96-4;998;96;290
197311;W96-4;999;511;2322
197311;W96-5;01;11312;25930
197311;W96-5;02;16357;39886
197311;W96-5;03;14257;39036
197311;W96-5;70;4;44
197311;W96-5;81;2383;5977
197311;W96-5;73;30;440
197311;W96-5;71;1322;24221
197311;W96-5;83;704;1725
197311;W96-5;84;384;1737
197311;W96-5;60;1270;8249
197311;W96-5;72;140;2251
197311;W96-5;74;121;2152
197311;W96-5;998;285;695
197311;W96-5;999;825;6755
197311;W96-6;01;12488;22954
197311;W96-6;02;9599;21029
197311;W96-6;03;19429;65641
197311;W96-6;70;190;204
197311;W96-6;81;1042;3137
197311;W96-6;73;60;2635
197311;W96-6;71;489;13788
197311;W96-6;83;466;1016
197311;W96-6;84;1291;8063
197311;W96-6;60;2297;17595
197311;W96-6;75;157;4551
197311;W96-6;72;20;607
197311;W96-6;74;140;1695
197311;W96-6;998;469;1603
197311;W96-6;999;610;1994
197311;W96-7;01;20425;35028
197311;W96-7;02;12025;23047
197311;W96-7;03;13064;38666
197311;W96-7;70;387;3861
197311;W96-7;73;4;8
197311;W96-7;71;90;2307
197311;W96-7;84;30;268
197311;W96-7;60;1935;14976
197311;W96-7;75;310;3710
197311;W96-7;74;106;1908
197311;W96-7;998;160;401
197311;W96-7;999;81;2350
197311;W96-8;01;3625;6609
197311;W96-8;02;3528;8711
197311;W96-8;03;2768;7021
197311;W96-8;70;48;329
197311;W96-8;81;453;945
197311;W96-8;73;187;4503
197311;W96-8;83;56;64
197311;W96-8;84;248;527
197311;W96-8;60;1042;5832
197311;W96-8;75;82;5503
197311;W96-8;74;54;151
197311;W96-8;998;420;743
197311;W96-8;999;329;2484
197311;W96-9;01;39413;98124
197311;W96-9;02;19529;54998
197311;W96-9;03;14824;49646
197311;W96-9;70;125;256
197311;W96-9;81;4313;20753
197311;W96-9;84;215;642
197311;W96-9;75;86;443
197312;W96-1;01;92;515
197312;W96-1;02;1288;5466
197312;W96-1;03;1481;4234
197312;W96-1;81;239;799
197312;W96-1;71;51;4958
197312;W96-1;84;98;158
197312;W96-1;60;181;936
197312;W96-1;74;146;2479
197312;W96-1;998;38;164
197312;W96-1;999;66;860
197312;W96-2;01;8229;38962
197312;W96-2;02;6832;33076
197312;W96-2;03;15178;75369
197312;W96-2;70;37;218
197312;W96-2;81;317;1050
197312;W96-2;73;158;928
197312;W96-2;83;2;12
197312;W96-2;84;1506;11778
197312;W96-2;60;5380;34374
197312;W96-2;74;11;827
197312;W96-2;999;105;336
197312;W96-3;01;3178;11564
197312;W96-3;02;6352;28592
197312;W96-3;03;22253;109146
197312;W96-3;70;310;1216
197312;W96-3;81;233;727
197312;W96-3;73;146;3085
197312;W96-3;71;120;9940
197312;W96-3;83;985;2208
197312;W96-3;84;729;4884
197312;W96-3;60;7089;45183
197312;W96-3;75;157;7540
