code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
197311;Nov.73;;Nov.73;;;;;;
197312;Dez.73;;Dec.73;;;;;;
197401;Jän.74;;Jan.74;;;;;;
197402;Feb.74;;Feb.74;;;;;;
197403;Mär.74;;Mar.74;;;;;;
197404;Apr.74;;Apr.74;;;;;;
197405;Mai.74;;May 74;;;;;;
197406;Jun.74;;Jun.74;;;;;;
197407;Jul.74;;Jul.74;;;;;;
197408;Aug.74;;Aug.74;;;;;;
197409;Sep.74;;Sep.74;;;;;;
197410;Okt.74;;Oct.74;;;;;;
197411;Nov.74;;Nov.74;;;;;;
197412;Dez.74;;Dec.74;;;;;;
197501;Jän.75;;Jan.75;;;;;;
197502;Feb.75;;Feb.75;;;;;;
197503;Mär.75;;Mar.75;;;;;;
197504;Apr.75;;Apr.75;;;;;;
197505;Mai.75;;May 75;;;;;;
197506;Jun.75;;Jun.75;;;;;;
197507;Jul.75;;Jul.75;;;;;;
197508;Aug.75;;Aug.75;;;;;;
197509;Sep.75;;Sep.75;;;;;;
197510;Okt.75;;Oct.75;;;;;;
197511;Nov.75;;Nov.75;;;;;;
197512;Dez.75;;Dec.75;;;;;;
197601;Jän.76;;Jan.76;;;;;;
197602;Feb.76;;Feb.76;;;;;;
197603;Mär.76;;Mar.76;;;;;;
197604;Apr.76;;Apr.76;;;;;;
197605;Mai.76;;May 76;;;;;;
197606;Jun.76;;Jun.76;;;;;;
197607;Jul.76;;Jul.76;;;;;;
197608;Aug.76;;Aug.76;;;;;;
197609;Sep.76;;Sep.76;;;;;;
197610;Okt.76;;Oct.76;;;;;;
197611;Nov.76;;Nov.76;;;;;;
197612;Dez.76;;Dec.76;;;;;;
197701;Jän.77;;Jan.77;;;;;;
197702;Feb.77;;Feb.77;;;;;;
197703;Mär.77;;Mar.77;;;;;;
197704;Apr.77;;Apr.77;;;;;;
197705;Mai.77;;May 77;;;;;;
197706;Jun.77;;Jun.77;;;;;;
197707;Jul.77;;Jul.77;;;;;;
197708;Aug.77;;Aug.77;;;;;;
197709;Sep.77;;Sep.77;;;;;;
197710;Okt.77;;Oct.77;;;;;;
197711;Nov.77;;Nov.77;;;;;;
197712;Dez.77;;Dec.77;;;;;;
197801;Jän.78;;Jan.78;;;;;;
197802;Feb.78;;Feb.78;;;;;;
197803;Mär.78;;Mar.78;;;;;;
197804;Apr.78;;Apr.78;;;;;;
197805;Mai.78;;May 78;;;;;;
197806;Jun.78;;Jun.78;;;;;;
197807;Jul.78;;Jul.78;;;;;;
197808;Aug.78;;Aug.78;;;;;;
197809;Sep.78;;Sep.78;;;;;;
197810;Okt.78;;Oct.78;;;;;;
197811;Nov.78;;Nov.78;;;;;;
197812;Dez.78;;Dec.78;;;;;;
197901;Jän.79;;Jan.79;;;;;;
197902;Feb.79;;Feb.79;;;;;;
197903;Mär.79;;Mar.79;;;;;;
197904;Apr.79;;Apr.79;;;;;;
197905;Mai.79;;May 79;;;;;;
197906;Jun.79;;Jun.79;;;;;;
197907;Jul.79;;Jul.79;;;;;;
197908;Aug.79;;Aug.79;;;;;;
197909;Sep.79;;Sep.79;;;;;;
197910;Okt.79;;Oct.79;;;;;;
197911;Nov.79;;Nov.79;;;;;;
197912;Dez.79;;Dec.79;;;;;;
198001;Jän.80;;Jan.80;;;;;;
198002;Feb.80;;Feb.80;;;;;;
198003;Mär.80;;Mar.80;;;;;;
198004;Apr.80;;Apr.80;;;;;;
198005;Mai.80;;May 80;;;;;;
198006;Jun.80;;Jun.80;;;;;;
198007;Jul.80;;Jul.80;;;;;;
198008;Aug.80;;Aug.80;;;;;;
198009;Sep.80;;Sep.80;;;;;;
198010;Okt.80;;Oct.80;;;;;;
198011;Nov.80;;Nov.80;;;;;;
198012;Dez.80;;Dec.80;;;;;;
198101;Jän.81;;Jan.81;;;;;;
198102;Feb.81;;Feb.81;;;;;;
198103;Mär.81;;Mar.81;;;;;;
198104;Apr.81;;Apr.81;;;;;;
198105;Mai.81;;May 81;;;;;;
198106;Jun.81;;Jun.81;;;;;;
198107;Jul.81;;Jul.81;;;;;;
198108;Aug.81;;Aug.81;;;;;;
198109;Sep.81;;Sep.81;;;;;;
198110;Okt.81;;Oct.81;;;;;;
198111;Nov.81;;Nov.81;;;;;;
198112;Dez.81;;Dec.81;;;;;;
198201;Jän.82;;Jan.82;;;;;;
198202;Feb.82;;Feb.82;;;;;;
198203;Mär.82;;Mar.82;;;;;;
198204;Apr.82;;Apr.82;;;;;;
198205;Mai.82;;May 82;;;;;;
198206;Jun.82;;Jun.82;;;;;;
198207;Jul.82;;Jul.82;;;;;;
198208;Aug.82;;Aug.82;;;;;;
198209;Sep.82;;Sep.82;;;;;;
198210;Okt.82;;Oct.82;;;;;;
198211;Nov.82;;Nov.82;;;;;;
198212;Dez.82;;Dec.82;;;;;;
198301;Jän.83;;Jan.83;;;;;;
198302;Feb.83;;Feb.83;;;;;;
198303;Mär.83;;Mar.83;;;;;;
198304;Apr.83;;Apr.83;;;;;;
198305;Mai.83;;May 83;;;;;;
198306;Jun.83;;Jun.83;;;;;;
198307;Jul.83;;Jul.83;;;;;;
198308;Aug.83;;Aug.83;;;;;;
